,0
0,Olfactory areas
1,Olfactory areas
2,Olfactory areas
3,Olfactory areas
4,Olfactory areas
5,Olfactory areas
6,Olfactory areas
7,Olfactory areas
8,Olfactory areas
9,Olfactory areas
10,Olfactory areas
11,Olfactory areas
12,Olfactory areas
13,Olfactory areas
14,Olfactory areas
15,Olfactory areas
16,Olfactory areas
17,Olfactory areas
18,Olfactory areas
19,Olfactory areas
20,Olfactory areas
21,Olfactory areas
22,Olfactory areas
23,Olfactory areas
24,Olfactory areas
25,Olfactory areas
26,Olfactory areas
27,Olfactory areas
28,Olfactory areas
29,Olfactory areas
30,Olfactory areas
31,Olfactory areas
32,Olfactory areas
33,Olfactory areas
34,Olfactory areas
35,Olfactory areas
36,Olfactory areas
37,Olfactory areas
38,Olfactory areas
39,Olfactory areas
40,Olfactory areas
41,Olfactory areas
42,Olfactory areas
43,Olfactory areas
44,Olfactory areas
45,Olfactory areas
46,Olfactory areas
47,Olfactory areas
48,Olfactory areas
49,Olfactory areas
50,Olfactory areas
51,Olfactory areas
52,Olfactory areas
53,Olfactory areas
54,Olfactory areas
55,Olfactory areas
56,Olfactory areas
57,Olfactory areas
58,Olfactory areas
59,Olfactory areas
60,Olfactory areas
61,Olfactory areas
62,Olfactory areas
63,Olfactory areas
64,Olfactory areas
65,Olfactory areas
66,Olfactory areas
67,Olfactory areas
68,Olfactory areas
69,Olfactory areas
70,Olfactory areas
71,Olfactory areas
72,Olfactory areas
73,Olfactory areas
74,Olfactory areas
75,Olfactory areas
76,Olfactory areas
77,Olfactory areas
78,Olfactory areas
79,Olfactory areas
80,Olfactory areas
81,Olfactory areas
82,Olfactory areas
83,Olfactory areas
84,Olfactory areas
85,Olfactory areas
86,Olfactory areas
87,Olfactory areas
88,Olfactory areas
89,Olfactory areas
90,Olfactory areas
91,Olfactory areas
92,Olfactory areas
93,Olfactory areas
94,Olfactory areas
95,Olfactory areas
96,Central amygdalar nucleus 
97,Olfactory areas
98,Olfactory areas
99,Olfactory areas
100,Olfactory areas
101,Olfactory areas
102,Olfactory areas
103,Olfactory areas
104,Olfactory areas
105,Olfactory areas
106,Olfactory areas
107,Olfactory areas
108,Olfactory areas
